Binding Energy,CPS
76.4,0
76.3,0
76.2,0
76.1,0
76,0
75.9,0
75.8,0
75.7,0
75.6,0
75.5,0
75.4,0
75.3,0
75.2,0
75.1,0
75,0
74.9,0
74.8,0
74.7,0
74.6,0
74.5,0
74.4,0
74.3,0
74.2,0
74.1,0
74,0
73.9,0
73.8,0
73.7,0
73.6,0
73.5,0
73.4,0
73.3,0
73.2,0
73.1,0
73,0
72.9,0
72.8,0
72.7,0
72.6,0
72.5,0
72.4,0
72.3,0
72.2,0
72.1,0
72,0
71.9,0
71.8,0
71.7,0
71.6,0
71.5,0
71.4,0
71.3,0
71.2,0
71.1,0
71,0
70.9,0
70.8,0
70.7,0
70.6,0
70.5,0
70.4,0
70.3,0
70.2,0
70.1,0
70,0
69.9,0
69.8,0
69.7,0
69.6,0
69.5,0
69.4,0
69.3,0
69.2,0
69.1,0
69,0
68.9,0
68.8,0
68.7,0
68.6,0
68.5,0
68.4,0
68.3,0
68.2,0
68.1,0
68,0
67.9,0
67.8,0
67.7,0
67.6,0
67.5,0
67.4,0
67.3,0
67.2,0
67.1,0
67,0
66.9,0
66.8,0
66.7,0
66.6,0
66.5,0
66.4,0
66.3,0
66.2,0
66.1,0
66,0
65.9,0
65.8,0
65.7,0
65.6,0
65.5,0
65.4,0
65.3,0
65.2,0
65.1,0
65,0
64.9,0
64.8,0
64.7,0
64.6,0
64.5,0
64.4,0
64.3,0
64.2,0
64.1,0
64,0
63.9,0
63.8,0
63.7,0
63.6,0
63.5,0
63.4,0
63.3,0
63.2,0
63.1,0
63,0
62.9,0
62.8,0
62.7,0
62.6,0
62.5,0
62.4,0
62.3,0
62.2,0
62.1,0
62,0
61.9,0
61.8,0
61.7,0
61.6,0
61.5,0
61.4,0
61.3,0
61.2,0
61.1,0
61,0
60.9,0
60.8,0
60.7,0
60.6,0
60.5,0
60.4,0
60.3,0
60.2,0
60.1,0
60,0
30,0.001042113
29.9,-9.50E-05
29.8,0.00019362
29.7,0.000912749
29.6,-8.42E-05
29.5,0.000738078
29.4,0.000567716
29.3,0.001965512
29.2,0.000868404
29.1,0.00205217
29,0.001348856
28.9,0.002361763
28.8,0.002231116
28.7,0.002244401
28.6,0.001329302
28.5,0.002517663
28.4,0.004110574
28.3,0.00374093
28.2,0.00276186
28.1,0.004785679
28,0.005459786
27.9,0.004381271
27.8,0.005234217
27.7,0.004551241
27.6,0.005617859
27.5,0.005795095
27.4,0.006726329
27.3,0.007521004
27.2,0.006565941
27.1,0.006606759
27,0.006971773
26.9,0.009160254
26.8,0.007394952
26.7,0.008084411
26.6,0.006561774
26.5,0.008179261
26.4,0.008480448
26.3,0.006421759
26.2,0.005963925
26.1,0.005716415
26,0.007254332
25.9,0.007016047
25.8,0.005091781
25.7,0.005340217
25.6,0.006090939
25.5,0.005416938
25.4,0.004591667
25.3,0.006018527
25.2,0.004805518
25.1,0.007876686
25,0.005635312
24.9,0.004954224
24.8,0.006778011
24.7,0.006892416
24.6,0.007542731
24.5,0.007947851
24.4,0.00677997
24.3,0.007219176
24.2,0.009020026
24.1,0.009431842
24,0.008060475
23.9,0.01122279
23.8,0.009680955
23.7,0.010528451
23.6,0.010880144
23.5,0.01041401
23.4,0.010476306
23.3,0.010866929
23.2,0.010938379
23.1,0.011079106
23,0.012476759
22.9,0.012123713
22.8,0.010512993
22.7,0.013157527
22.6,0.012381552
22.5,0.012530329
22.4,0.011929452
22.3,0.011286973
22.2,0.011180048
22.1,0.010571406
22,0.010927017
21.9,0.010706862
21.8,0.010127285
21.7,0.009048805
21.6,0.007813642
21.5,0.008472184
21.4,0.008562298
